../assets/testSmall.png
1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1
0,0,0,1,0,0,0,1,1,0,0,0,1,1,8,1,1
1,1,1,30,1,1,1,1,1,1,1,1,1,1,15,1,1
MAP_START
10,10,10,10,10,10,10,10,10,10,7,8,0,0,0
10,10,10,10,10,10,10,10,10,10,12,13,0,0,0
10,10,10,10,2,2,10,10,10,10,15,16,0,0,0
3,7,8,3,6,6,3,7,8,3,7,8,0,0,0
5,12,13,9,9,9,9,12,13,5,12,13,0,0,0
5,15,16,9,9,9,9,15,16,5,15,16,0,0,0
5,3,3,9,9,9,9,3,3,5,7,8,0,0,0
4,4,4,4,4,4,4,4,4,4,12,13,0,0,0
4,14,14,14,14,14,14,14,0,4,15,16,0,0,0
4,4,4,4,4,4,4,4,4,4,7,8,0,0,0
4,4,4,4,4,4,4,4,4,4,12,13,0,0,0
4,4,4,4,4,4,4,4,4,4,15,16,0,0,0
MAP_END
